"set","setInf","locx","locy","time","genoID"
5,17,5.42108626198161,3.65709192916844,199,8937993326609051
5,18,5.42108626198161,3.65709192916844,200,3310673236642962
22,45,2.00289321409775,4.52562162162161,201,3062203168382490
30,86,6.02193577566731,6.31965714285713,203,8711495036488889
15,56,3.14513658412059,2.08701639344265,204,2184796824258190
3,36,5.19927272727327,2.55909356313043,204,3310830252476347
30,87,6.02193577566731,6.31965714285713,205,4436576480054683
22,46,2.00289321409775,4.52562162162161,206,7249690804119195
22,47,2.00289321409775,4.52562162162161,206,3310690137655963
22,48,2.00289321409775,4.52562162162161,206,3309034956181275
3,37,5.19927272727327,2.55909356313043,207,4434943455055403
22,49,2.00289321409775,4.52562162162161,207,3275512719655611
21,19,5.60182303245884,6.85478656968628,208,3029765453537587
3,38,5.19927272727327,2.55909356313043,208,1076622288808594
15,57,3.14513658412059,2.08701639344265,209,2571959427957273
21,20,5.60182303245884,6.85478656968628,209,3361235929981595
3,39,5.19927272727327,2.55909356313043,209,1091878350800155
30,88,6.02193577566731,6.31965714285713,209,1094043011696027
5,19,5.42108626198161,3.65709192916844,209,3168443227751611
5,20,5.42108626198161,3.65709192916844,209,3308493723199131
22,50,2.00289321409775,4.52562162162161,209,1461313083337371
22,51,2.00289321409775,4.52562162162161,209,4434935499769768
21,21,5.60182303245884,6.85478656968628,210,3079800656545435
3,40,5.19927272727327,2.55909356313043,210,3310696638742667
30,89,6.02193577566731,6.31965714285713,210,2798386597899963
21,22,5.60182303245884,6.85478656968628,211,3310692712894171
3,41,5.19927272727327,2.55909356313043,211,7847416285415323
30,90,6.02193577566731,6.31965714285713,211,1091876200959643
5,21,5.42108626198161,3.65709192916844,211,4469578071328443
21,23,5.60182303245884,6.85478656968628,212,3308491256944531
3,42,5.19927272727327,2.55909356313043,212,7814413303990171
30,91,6.02193577566731,6.31965714285713,212,3311242577727131
5,22,5.42108626198161,3.65709192916844,212,3309044149837979
22,52,2.00289321409775,4.52562162162161,212,3082269280854747
22,53,2.00289321409775,4.52562162162161,212,3311484882177563
22,54,2.00289321409775,4.52562162162161,212,3240325008376731
8,7,3.66735471578293,7.21564889080905,212,3062204007760403
15,58,3.14513658412059,2.08701639344265,213,1059446781953947
3,43,5.19927272727327,2.55909356313043,213,7814284924735163
3,44,5.19927272727327,2.55909356313043,213,1056693976620955
3,45,5.19927272727327,2.55909356313043,213,1057226552559387
30,92,6.02193577566731,6.31965714285713,213,7847277271242267
30,93,6.02193577566731,6.31965714285713,213,8973452037769147
22,55,2.00289321409775,4.52562162162161,213,3062202917224603
22,56,2.00289321409775,4.52562162162161,213,8973452037769115
22,57,2.00289321409775,4.52562162162161,213,3240289574897595
8,8,3.66735471578293,7.21564889080905,213,3290901587479547
3,46,5.19927272727327,2.55909356313043,214,7286664030113691
3,47,5.19927272727327,2.55909356313043,214,3345877168835227
22,58,2.00289321409775,4.52562162162161,214,3185895727351323
22,59,2.00289321409775,4.52562162162161,214,7109090394039994
22,60,2.00289321409775,4.52562162162161,214,3343675612251803
22,61,2.00289321409775,4.52562162162161,214,4188078262246321
30,94,6.02193577566731,6.31965714285713,215,7850164007258011
30,95,6.02193577566731,6.31965714285713,215,7812062992189115
30,96,6.02193577566731,6.31965714285713,215,7585735688643771
30,97,6.02193577566731,6.31965714285713,215,3345882352510782
30,98,6.02193577566731,6.31965714285713,215,8940192364032667
5,23,5.42108626198161,3.65709192916844,215,3081152380063507
5,24,5.42108626198161,3.65709192916844,215,3346014557480347
5,25,5.42108626198161,3.65709192916844,215,4188377701992091
22,62,2.00289321409775,4.52562162162161,215,4436592099116219
15,59,3.14513658412059,2.08701639344265,216,1074285692897163
30,100,6.02193577566731,6.31965714285713,216,3081994126246587
30,99,6.02193577566731,6.31965714285713,216,3080067095523227
5,26,5.42108626198161,3.65709192916844,216,8973177730162587
5,27,5.42108626198161,3.65709192916844,216,7812355412741755
32,10,6.68026905829644,6.19239457831331,216,7812093400891707
15,60,3.14513658412059,2.08701639344265,217,7848924522218909
15,61,3.14513658412059,2.08701639344265,217,1023708610481851
3,48,5.19927272727327,2.55909356313043,217,4399724720612251
3,49,5.19927272727327,2.55909356313043,217,7301919651724699
30,101,6.02193577566731,6.31965714285713,217,1058893032869563
30,102,6.02193577566731,6.31965714285713,217,3311484882177563
30,103,6.02193577566731,6.31965714285713,217,4296405021419035
32,11,6.68026905829644,6.19239457831331,217,1056698271127067
15,62,3.14513658412059,2.08701639344265,218,4207892993235611
3,50,5.19927272727327,2.55909356313043,218,3309026366211931
30,104,6.02193577566731,6.31965714285713,218,2643134301130459
30,105,6.02193577566731,6.31965714285713,218,3309043075810953
30,106,6.02193577566731,6.31965714285713,218,7847241014106043
5,28,5.42108626198161,3.65709192916844,218,7583361505223865
22,63,2.00289321409775,4.52562162162161,218,2748284042792603
22,64,2.00289321409775,4.52562162162161,218,1092153226611387
22,65,2.00289321409775,4.52562162162161,218,3308442250168219
22,66,2.00289321409775,4.52562162162161,218,3079792857243291
22,67,2.00289321409775,4.52562162162161,218,3925319746111251
15,63,3.14513658412059,2.08701639344265,219,3310692796778399
3,51,5.19927272727327,2.55909356313043,219,3344227649752971
3,52,5.19927272727327,2.55909356313043,219,3308768273908283
30,107,6.02193577566731,6.31965714285713,219,775218999903899
5,29,5.42108626198161,3.65709192916844,219,7812641026006459
5,30,5.42108626198161,3.65709192916844,219,7566353759528734
5,31,5.42108626198161,3.65709192916844,219,775218999903899
5,32,5.42108626198161,3.65709192916844,219,4436591981675955
22,68,2.00289321409775,4.52562162162161,219,1059442788714129
22,69,2.00289321409775,4.52562162162161,219,3310693903552186
22,70,2.00289321409775,4.52562162162161,219,1094074419171219
22,71,2.00289321409775,4.52562162162161,219,3308493389743769
22,72,2.00289321409775,4.52562162162161,219,7864869606713043
22,73,2.00289321409775,4.52562162162161,219,7864869606713043
21,24,5.60182303245884,6.85478656968628,220,3343677793097371
3,53,5.19927272727327,2.55909356313043,220,3310675264064027
30,108,6.02193577566731,6.31965714285713,220,3344202156919995
30,109,6.02193577566731,6.31965714285713,220,7812085817593531
5,33,5.42108626198161,3.65709192916844,220,830198389230745
22,74,2.00289321409775,4.52562162162161,220,2642331461010971
15,64,3.14513658412059,2.08701639344265,221,3310690666139387
15,65,3.14513658412059,2.08701639344265,221,7814289856841626
30,110,6.02193577566731,6.31965714285713,221,3311517430506651
30,111,6.02193577566731,6.31965714285713,221,3310675298141051
5,34,5.42108626198161,3.65709192916844,221,4434391063258299
22,75,2.00289321409775,4.52562162162161,221,3310827635330651
32,12,6.68026905829644,6.19239457831331,221,3291039915589883
32,13,6.68026905829644,6.19239457831331,221,3346843486187161
3,54,5.19927272727327,2.55909356313043,222,3311308940006427
3,55,5.19927272727327,2.55909356313043,222,7814289856841626
30,112,6.02193577566731,6.31965714285713,222,3029771887592987
30,113,6.02193577566731,6.31965714285713,222,2992107071267419
30,114,6.02193577566731,6.31965714285713,222,7831883553201947
30,115,6.02193577566731,6.31965714285713,222,3291026157771451
32,14,6.68026905829644,6.19239457831331,222,3310675298141051
32,15,6.68026905829644,6.19239457831331,222,3345874886902937
15,66,3.14513658412059,2.08701639344265,223,3326085993123513
15,67,3.14513658412059,2.08701639344265,223,2184758547048987
30,116,6.02193577566731,6.31965714285713,223,7847415014539963
30,117,6.02193577566731,6.31965714285713,223,1953892780003867
30,118,6.02193577566731,6.31965714285713,223,3308457282686617
30,119,6.02193577566731,6.31965714285713,223,3326086009966139
30,120,6.02193577566731,6.31965714285713,224,4451985885020843
22,76,2.00289321409775,4.52562162162161,224,7812093400892539
32,16,6.68026905829644,6.19239457831331,224,3308493823332251
21,25,5.60182303245884,6.85478656968628,225,3873634160296211
21,26,5.60182303245884,6.85478656968628,225,2483988918461339
21,27,5.60182303245884,6.85478656968628,225,3308619954933433
30,121,6.02193577566731,6.31965714285713,225,4417213836346000
30,122,6.02193577566731,6.31965714285713,225,531127082741483
30,123,6.02193577566731,6.31965714285713,225,531127082741739
30,124,6.02193577566731,6.31965714285713,225,3308619954933433
3,56,5.19927272727327,2.55909356313043,226,7794500300556603
30,125,6.02193577566731,6.31965714285713,226,3079795002623667
30,126,6.02193577566731,6.31965714285713,226,3081960060414395
15,68,3.14513658412059,2.08701639344265,227,3343675178147515
15,69,3.14513658412059,2.08701639344265,227,3308493790307995
3,57,5.19927272727327,2.55909356313043,227,3344639680966331
3,58,5.19927272727327,2.55909356313043,227,3308493790299929
30,127,6.02193577566731,6.31965714285713,227,4417213836346000
30,128,6.02193577566731,6.31965714285713,227,3345877053530259
30,129,6.02193577566731,6.31965714285713,227,3308459329867323
30,130,6.02193577566731,6.31965714285713,227,3308768668206819
30,131,6.02193577566731,6.31965714285713,227,4434535430868639
30,132,6.02193577566731,6.31965714285713,227,3343677893947291
22,77,2.00289321409775,4.52562162162161,227,2730117388094235
21,28,5.60182303245884,6.85478656968628,228,2745543820100922
30,133,6.02193577566731,6.31965714285713,228,7812095296850963
22,78,2.00289321409775,4.52562162162161,228,4487170255012491
22,79,2.00289321409775,4.52562162162161,228,3308498118304923
22,80,2.00289321409775,4.52562162162161,228,3308768668206819
3,59,5.19927272727327,2.55909356313043,229,4434535430868639
3,60,5.19927272727327,2.55909356313043,229,2780848467797145
3,61,5.19927272727327,2.55909356313043,229,4434393160271547
30,134,6.02193577566731,6.31965714285713,229,3308493656091323
30,135,6.02193577566731,6.31965714285713,229,7565801756085947
30,136,6.02193577566731,6.31965714285713,229,3064402208917266
21,29,5.60182303245884,6.85478656968628,230,8851131922695703
3,62,5.19927272727327,2.55909356313043,230,3308766086612637
30,137,6.02193577566731,6.31965714285713,230,4434889279327419
30,138,6.02193577566731,6.31965714285713,230,3080070862001803
22,81,2.00289321409775,4.52562162162161,230,3170509375456187
22,82,2.00289321409775,4.52562162162161,230,4451985885020811
3,63,5.19927272727327,2.55909356313043,231,3308493521865915
30,139,6.02193577566731,6.31965714285713,231,2780732487157403
30,140,6.02193577566731,6.31965714285713,231,3308498873271871
30,141,6.02193577566731,6.31965714285713,231,3310658386682907
30,142,6.02193577566731,6.31965714285713,231,7814292071809209
5,35,5.42108626198161,3.65709192916844,231,3310827836597563
22,83,2.00289321409775,4.52562162162161,231,3308631211952825
30,143,6.02193577566731,6.31965714285713,232,3310821595469339
30,144,6.02193577566731,6.31965714285713,232,3310821595469339
30,145,6.02193577566731,6.31965714285713,232,3310697107998779
5,36,5.42108626198161,3.65709192916844,232,3311345648586282
8,9,3.66735471578293,7.21564889080905,232,4469716380592955
30,146,6.02193577566731,6.31965714285713,233,777963483222715
15,70,3.14513658412059,2.08701639344265,234,7812231729008315
15,71,3.14513658412059,2.08701639344265,234,7812231729008315
30,147,6.02193577566731,6.31965714285713,234,495940882296467
22,84,2.00289321409775,4.52562162162161,234,2780732487157403
26,5,3.33629032258034,6.1503819223425,234,8427886417334171
30,148,6.02193577566731,6.31965714285713,235,3344354621836699
30,149,6.02193577566731,6.31965714285713,236,3343796273972883
26,6,3.33629032258034,6.1503819223425,236,2780828871876249
26,7,3.33629032258034,6.1503819223425,236,3310697964162747
22,85,2.00289321409775,4.52562162162161,237,5560293603990651
8,10,3.66735471578293,7.21564889080905,237,3343815332880027
22,86,2.00289321409775,4.52562162162161,238,3344193558463131
3,64,5.19927272727327,2.55909356313043,239,7565800279697051
22,87,2.00289321409775,4.52562162162161,239,7532817447440027
3,65,5.19927272727327,2.55909356313043,243,3011625650277475
22,88,2.00289321409775,4.52562162162161,244,3168848330932243
22,89,2.00289321409775,4.52562162162161,244,3310692545087027
3,66,5.19927272727327,2.55909356313043,245,7847964984231579
8,11,3.66735471578293,7.21564889080905,245,3170779589821115
3,67,5.19927272727327,2.55909356313043,246,3308622622551707
30,150,6.02193577566731,6.31965714285713,248,3310821645273755
15,72,3.14513658412059,2.08701639344265,249,3343678145095835
21,30,5.60182303245884,6.85478656968628,249,3346019858827002
30,151,6.02193577566731,6.31965714285713,249,4435492671079227
22,90,2.00289321409775,4.52562162162161,249,2219925739195963
